"","year","month","median.monthly.flow","max.monthly.flow","date.of.monthly.max.flow","monthly.fall.rate","monthly.rise.rate","monthly.reversals","monthly.inflows","inflows.upperquartile","inflows.lowerquartile","date","minDO.oakcity","minDO.jamesville","days.over.10k","days.over.15k","days.over.20k","days.over.30k"
"233","1997",10,18200,19800,280,600,150,13,2736.25806451613,0,0,1997-10-01,NA,NA,0,0,0,0
"234","1997",11,6860,13500,327,2130,3545,14,4036.76666666667,0,0,1997-11-01,NA,NA,0,0,0,0
"235","1998",3,24800,35400,87,350,300,8,22445.1290322581,1,0,1998-03-01,NA,NA,31,31,27,10
"236","1998",4,18900,24900,92,300,100,6,16548.8666666667,1,0,1998-04-01,NA,NA,30,30,9,0
"237","1998",5,19000,19100,137,100,100,11,12256.6451612903,1,0,1998-05-01,NA,NA,31,31,0,0
"238","1998",6,6410,18500,153,1000,1750,9,4679.83333333333,0,0,1998-06-01,NA,4.1,10,3,0,0
"239","1998",7,3790,7750,203,330,385,18,2779.38709677419,0,0,1998-07-01,NA,5.9,0,0,0,0
"240","1998",8,2870,8260,238,275,330,17,2768.61290322581,0,0,1998-08-01,NA,6.1,0,0,0,0
"241","1998",9,3135,6080,274,545,250,8,1685.4,0,1,1998-09-01,7,6,0,0,0,0
"242","1998",10,2310,6070,282,560,320,16,1755.22580645161,0,1,1998-10-01,8.1,6.6,0,0,0,0
"243","1998",11,5840,8320,320,160,815,14,2084.96666666667,0,1,1998-11-01,NA,NA,0,0,0,0
"244","1999",3,2020,12000,64,220,50,16,6485.41935483871,0,1,1999-03-01,NA,NA,1,0,0,0
"245","1999",4,6530,8690,101,80,30,10,6155.9,0,1,1999-04-01,NA,NA,0,0,0,0
"246","1999",5,5900,6600,132,45,80,13,4895.54838709677,0,0,1999-05-01,NA,NA,0,0,0,0
